Title,Romanised Title,A.K.A,Publisher(s),Year Release,Region,Decision,Platform,Rating,Consumer Advice,Decision Date,More Info
圧倒的遊戯 ムゲンソウルズZ,ATTOUTEKI YUUGI: MUGEN SOULS Z,,IDEA FACTORY CO. LTD,2013,ASIA,Approved,Sony Playstation 3,Age Advisory,,26/04/2013,"‘Mugen Souls Z’ is a Japanese role-playing game where the main character is Sylma, a God trying to unite 12 worlds under her rule. With the help of other characters and minions, Sylma will travel to each of the twelve worlds, and attempt to defeat enemy inhabitants and subsume the world under her control. Gameplay consists of turn-based combat, where members of the player’s team and enemies take turns to execute moves. During battles, the player can execute basic melee attacks with each character’s primary weapon, or unleash special magical attacks. This game is rated with the advisory “Suitable for 16 & Above”. The game frequently features female characters in revealing outfits. Some scenes also depict the female characters in bathhouses, covered only by steam and foam. The Age Advisory guidelines state that “Still or moving images which may be mildly suggestive may be featured, eg. scantily-clad women in bikinis or lingerie”. The optional bathing mini-game which allows players to navigate objects and items around female characters’ bodies, while sexually suggestive, does not feature any sex or nudity. In addition, players can only utilise the mini-game limitedly, as the bathing items are expendable and can only be obtained infrequently through combat."
討鬼伝,TOUKIDEN,TOUKIDEN ONIGARA,KOEI TECMO,2013,ASIA,Approved,Sony PS Vita,General,,26/06/2013,
ARMA III,ARMA III,ARMA 3,BOHEMIA INTERACTIVE,2013,ASIA,Approved,PC,Age Advisory,,07/08/2013,"‘ARMA III’ is an open-world, tactical shooter in which the player assumes the role of a British Special Forces soldier who has been deployed to fend off a massive invasion. After the failure of the defence operation, the player must continue to survive on his own while fighting against enemy troops. The game is rated with the advisory “Suitable for 16 & Above”. During combat sequences, the player uses various weapons such as firearms, explosives and vehicles (e.g. armoured vehicles, tanks, helicopters) against human enemies that are encountered on the battlefield. Enemies emit a small puff of blood when they are shot, along with blood stains that appear on their clothing. Blood stains can also be seen on the screen when the player character is injured. The player can choose to shoot at enemy corpses, which will lead to the appearance of blood stains on the enemy’s clothing. When a grenade is detonated near a human corpse, the body will move around realistically but it remains intact. Graphic depictions of violence, such as dismemberment and decapitation, do not occur in the game. Under the Age Advisory guidelines, “moderate level of violence that is realistic but not excessively graphic violence with depiction of blood may be included in the gameplay.” Coarse language is used infrequently in the game, including the word “f**k”. The expletive can be heard in the dialogue and seen in the subtitle. “Coarse language that is generally limited to the use of words like “f**k”” is allowed at the Age Advisory rating."
TOTAL WAR: SHOGUN 2 GOLD EDITION,TOTAL WAR: SHOGUN 2 GOLD EDITION,,SEGA EUROPE,2013,EURO,Approved,PC,General,,06/03/2013,
COMPANY OF HEROES 2,COMPANY OF HEROES 2,,SEGA EUROPE,2013,ASIA,Approved,PC,Age Advisory,,29/05/2013,"‘Company of Heroes 2’ is a WWII real-time strategy game where the player character is a Russian army officer on the Eastern Front of the war battling the Germans. Gameplay is presented in a top-down, zoomed-out view. The player will command squads of soldiers, and must efficiently manage resources and manoeuvre various military units like infantry, engineers, mortar teams and tanks to defeat enemy units. The single player storyline progresses as the player completes missions and objectives. The game is rated with the advisory “Suitable for 16 & Above”. There are limited blood effects, with blood puffs sometimes being briefly depicted when units take damage during gameplay and certain cinematic scenes. Dismemberments may occur on the battlefields when soldiers are killed by explosions and bombardments, but the gore is not detailed due to the small size of the units on the screen. Under the Age Advisory guidelines, “realistic but not excessively graphic violence with depiction of blood may be included in the gameplay.” Some coarse language can be heard and seen in the dialogue and subtitles, with several instances of use of the expletive ‘f**k’ and its variations. These are acceptable under Age Advisory where “Coarse language should generally be limited to the use of words such as ‘f**k’.”"
COMPANY OF HEROES 2 RED STAR EDITION,COMPANY OF HEROES 2 RED STAR EDITION,,SEGA EUROPE,2013,ASIA,Approved,PC,Age Advisory,,29/05/2013,"‘Company of Heroes 2’ is a WWII real-time strategy game where the player character is a Russian army officer on the Eastern Front of the war battling the Germans. Gameplay is presented in a top-down, zoomed-out view. The player will command squads of soldiers, and must efficiently manage resources and manoeuvre various military units like infantry, engineers, mortar teams and tanks to defeat enemy units. The single player storyline progresses as the player completes missions and objectives. The game is rated with the advisory “Suitable for 16 & Above”. There are limited blood effects, with blood puffs sometimes being briefly depicted when units take damage during gameplay and certain cinematic scenes. Dismemberments may occur on the battlefields when soldiers are killed by explosions and bombardments, but the gore is not detailed due to the small size of the units on the screen. Under the Age Advisory guidelines, “realistic but not excessively graphic violence with depiction of blood may be included in the gameplay.” Some coarse language can be heard and seen in the dialogue and subtitles, with several instances of use of the expletive ‘f**k’ and its variations. These are acceptable under Age Advisory where “Coarse language should generally be limited to the use of words such as ‘f**k’.”"
NINJA GAIDEN SIGMA 2 PLUS,NINJA GAIDEN SIGMA 2 PLUS,NINJA GAIDEN SIGMA 2+,TECMO KOEI GAMES CO.LTD,2013,ASIA,Approved,Sony PS Vita,Mature 18,VIOLENCE AND GORE,04/02/2013,"‘Ninja Gaiden Sigma 2 Plus’ is a remake of the PlayStation 3 title, “Ninja Gaiden Sigma 2”. The game revolves around Ryu Hayabusa and the age-old conflict between his clan and the Black Spider Ninja Clan. Ryu must prevent the main antagonist from resurrecting an ancient demon through the use of a demonic statue, which will enslave the entire world to the demons. This game is classified M18 with the consumer advice “Violence and Gore”. During combat sequences, enemies can be dismembered or decapitated by the player character. By performing a charged-up attack, the player character will unleash a flurry of attacks that will dismember nearby enemies in relatively close-up view. These depictions of violence are often accompanied with realistic blood effects such as blood spurts and blood stains. In some cut-scenes, enemies are sliced into halves, which is followed by sprays of blood as the dismembered bodies collapse to the ground. Such depictions of realistic violence are within the M18 guidelines which allow for “depictions of realistic violence such as killing, maiming or causing other serious injury to humanoid characters, if it is not sadistic, cruel or abhorrent”."
DONKEY KONG COUNTRY RETURNS 3D,DONKEY KONG COUNTRY RETURNS 3D,,NINTENDO OF AMERICA,2013,ASIA,Approved,Nintendo 3DS,General,,16/05/2013,
PS3 BEST HIT COLLECTION VOL. 2,PS3 BEST HIT COLLECTION VOLUME 2,,SONY COMPUTER ENTERTAINMENT INC,2013,ASIA,Approved,Sony Playstation 3,Mature 18,"GOD OF WAR III: M18 (STRONG VIOLENCE, GORE, SEXUAL THEMES AND NUDITY) / RESISTANCE 3: M18 (STRONG BLOODY VIOLENCE AND GORE)",11/07/2013,"This compilation consists of ‘God Of War III’ and ‘Resistance 3’. For more information on the game content, please refer to the individual games’ records in the classification database."
NCAA FOOTBALL 14,NCAA FOOTBALL 14,,ELECTRONIC ARTS,2013,US,Approved,"Sony Playstation 3,Xbox 360",General,,10/07/2013,
